"Year"	"BorX"	"BorY"	"Species"	"Cover"
"2015"	0	0	"vial"	2
"2015"	0	0	"plob"	3
"2015"	0	0	"drsp"	2
"2015"	0	0	"trer"	1
"2015"	0	0	"oxmo"	1
"2015"	0	0	"clbo"	1
"2015"	0	0	"stro"	2
"2015"	0	0	"prvi"	1
"2015"	0	0	"coal"	1
"2015"	0	0	"vile"	1
"2015"	0	20	"violasp"	1
"2015"	0	20	"vial"	2
"2015"	0	20	"drsp"	2
"2015"	0	20	"oxmo"	1
"2015"	0	20	"stro"	1
"2015"	0	20	"trer"	1
"2015"	0	20	"lylu"	1
"2015"	0	20	"poac"	1
"2015"	0	20	"galiumsp"	1
"2015"	0	20	"drno"	1
"2015"	0	20	"urdi"	1
"2015"	0	20	"tico"	1
"2015"	0	20	"grass"	2
"2015"	0	20	"mire"	1
"2015"	0	40	"oxmo"	1
"2015"	0	40	"vial"	2
"2015"	0	40	"lylu"	3
"2015"	0	40	"drsp"	2
"2015"	0	40	"stro"	1
"2015"	0	40	"trer"	1
"2015"	0	60	"oxmo"	1
"2015"	0	60	"vial"	2
"2015"	0	60	"lylu"	3
"2015"	0	60	"drsp"	2
"2015"	0	60	"stro"	1
"2015"	0	60	"trun"	1
"2015"	0	80	"oxmo"	1
"2015"	0	80	"vial"	2
"2015"	0	80	"lylu"	2
"2015"	0	80	"drsp"	2
"2015"	0	80	"stro"	1
"2015"	0	80	"clbo"	1
"2015"	160	60	"popu"	1
"2015"	0	80	"trer"	1
"2015"	0	80	"mevi"	1
"2015"	0	100	"oxmo"	1
"2015"	0	100	"vial"	4
"2015"	0	100	"lylu"	2
"2015"	0	100	"drsp"	2
"2015"	0	100	"stro"	1
"2015"	0	100	"trer"	1
"2015"	0	100	"arnu"	1
"2015"	0	80	"popu"	1
"2015"	0	120	"oxmo"	2
"2015"	0	120	"vial"	3
"2015"	0	120	"lylu"	4
"2015"	0	120	"drsp"	2
"2015"	0	120	"stro"	1
"2015"	0	120	"trun"	1
"2015"	0	120	"clbo"	1
"2015"	0	140	"oxmo"	1
"2015"	0	140	"vial"	4
"2015"	0	140	"lylu"	3
"2015"	0	140	"drsp"	2
"2015"	0	140	"trer"	1
"2015"	0	140	"clbo"	1
"2015"	0	140	"trbo"	2
"2015"	0	140	"maca"	2
"2015"	0	140	"arnu"	1
"2015"	0	160	"oxmo"	1
"2015"	0	160	"vial"	2
"2015"	0	160	"lylu"	2
"2015"	0	160	"drsp"	1
"2015"	0	160	"mire"	1
"2015"	0	160	"trer"	1
"2015"	0	160	"clbo"	1
"2015"	0	160	"maca"	2
"2015"	0	180	"oxmo"	1
"2015"	0	180	"vial"	4
"2015"	0	180	"lylu"	3
"2015"	0	180	"drsp"	3
"2015"	0	180	"maca"	1
"2015"	0	180	"arnu"	2
"2015"	0	180	"trer"	1
"2015"	0	180	"clbo"	1
"2015"	0	200	"oxmo"	1
"2015"	0	200	"vial"	2
"2015"	0	200	"lylu"	2
"2015"	0	200	"drsp"	3
"2015"	0	200	"maca"	2
"2015"	0	200	"arnu"	1
"2015"	0	200	"clbo"	2
"2015"	0	200	"stro"	1
"2015"	0	200	"trer"	1
"2015"	0	200	"trun"	1
"2015"	0	220	"oxmo"	1
"2015"	0	220	"vial"	4
"2015"	0	220	"lylu"	2
"2015"	0	220	"drsp"	3
"2015"	0	220	"clbo"	1
"2015"	0	220	"mevi"	1
"2015"	0	220	"stro"	1
"2015"	0	220	"trer"	1
"2015"	0	240	"na"	"NA"
"2015"	0	260	"vial"	2
"2015"	0	260	"drsp"	2
"2015"	0	260	"lylu"	2
"2015"	0	260	"stro"	2
"2015"	0	260	"grass"	1
"2015"	0	260	"mire"	1
"2015"	0	260	"trer"	1
"2015"	0	260	"clbo"	1
"2015"	0	100	"popu"	1
"2015"	0	260	"vevi"	1
"2015"	0	280	"vial"	3
"2015"	0	280	"thpu"	1
"2015"	0	280	"lylu"	1
"2015"	0	280	"violasp"	1
"2015"	0	280	"clbo"	1
"2015"	0	280	"drsp"	1
"2015"	0	280	"urdi"	1
"2015"	0	280	"vevi"	1
"2015"	0	280	"poac"	2
"2015"	0	280	"trer"	1
"2015"	0	280	"artr"	1
"2015"	0	280	"stro"	1
"2015"	20	120	"popu"	1
"2015"	0	280	"arnu"	1
"2015"	0	300	"vial"	2
